"LANGUAGE","Українська","Language name (in native language)."
"LANGUAGE_CHOICE","Вибрати мову","Heading for language selection menu."
"LANGUAGE_GAME","Мова гри","Default selection in language selection menu."
"NOTE_CLOSE","Закрити","Notification button text - closes the notification."
"NOTE_DONTSHOWAGAIN","Не показувати знову","Notification button text - don't show this notification again."
"NO","Ні","Notification button text - don't perform this action."
"YES","Так","Notification button text - perfom this action."
"PRESS_ANY_KEY","Натисніть будь-яку клавішу","Shown when awaiting user input when changing a key setting."
"CONFLICT_DETECTED","Виявлено конфліктні модифікації!","Warning message that a mod conflict was detected."
"UNABLE_TO_OPERATE","Це означає, що мод не здатний працювати і був вимкнений","Warning message letting the user know that the mod can't work."
"CONFLICTING_MODS","Конфліктні моди:","Part of the mod conflict warning notification - header for the list of conflicting mods."
"HARMONY_ERROR","Мод не зміг належним чином застосувати необхідні патчі Harmony.","Warning message that a patching problem was detected, and the mod can't operate."
"HARMONY_PROBLEM_CAUSES","Можливі причини цієї проблеми:","Header for list of possible causes of Harmony errors."
"HARMONY_NOT_INSTALLED","Необхідна модифікація Harmony 2 не була встановлена","Possible cause of Harmony error - Harmony not installed."
"HARMONY_MOD_ERROR","Старий і/або зламаний мод перешкоджає роботі Harmony 2","Possible cause of Harmony error - a broken mod (not this one) can cause things to stop working."
"HARMONY_MOD_CONFLICT","Інша модифікація, можливо, намагається використати конфліктний патч Harmony","Possible cause of Harmony error - two mods trying to patch the same thing at once."
"DETAIL_LOGGING","Ввімкнути детальне ведення журналу налагодження","Option to record more detail in game log"
